id,age,sexe,taux,situationFamiliale,nbEnfantsAcharge,seconde_voiture,immatriculation
653,40,F,978,En Couple,2,true,3261 QB 72
659,78,M,414,En Couple,1,true,1753 MH 84
665,24,M,571,En Couple,2,true,825 WR 51
667,53,M,218,En Couple,3,true,2410 BZ 75
676,19,M,1006,En Couple,4,true,1729 XU 77
678,47,M,756,En Couple,1,true,519 RK 68
688,74,M,975,En Couple,1,true,817 ZW 78
690,59,F,593,En Couple,3,true,3380 AN 97
721,50,M,464,En Couple,2,true,7139 SG 83
725,35,M,418,En Couple,1,true,2168 JW 77
730,73,M,1104,En Couple,1,true,2427 YI 90
732,28,F,778,En Couple,1,true,6588 WI 41
734,49,M,481,En Couple,4,true,3347 WP 55
735,79,M,593,En Couple,3,true,3322 ZF 10
754,80,F,1112,En Couple,1,true,7026 WW 10
757,50,M,593,En Couple,0,true,1452 YA 68
762,26,M,1062,En Couple,3,true,7547 LH 66
765,51,M,225,En Couple,0,true,2994 XM 27
776,36,M,220,En Couple,1,true,2863 PH 67
782,84,M,409,En Couple,4,true,2243 QH 21
785,22,F,521,En Couple,2,true,5242 CP 27
787,67,M,912,En Couple,0,true,2749 OV 70
789,67,M,481,En Couple,3,true,4153 ID 62
801,72,M,1200,En Couple,2,true,9435 WX 22
811,33,M,1362,En Couple,2,true,9859 TY 42
819,24,F,172,En Couple,1,true,3695 ME 73
823,59,M,945,En Couple,3,true,8659 SD 39
825,25,F,409,En Couple,1,true,9364 DB 98
827,33,M,885,En Couple,1,true,4106 VG 39
830,47,F,586,En Couple,3,true,7268 CD 47
833,27,F,578,En Couple,0,true,9007 TL 42
841,39,M,222,En Couple,3,true,5992 UR 79
855,42,M,470,En Couple,1,true,5740 AS 13
856,52,M,558,En Couple,0,true,3175 EI 79
862,40,M,1122,En Couple,3,true,811 AH 34
883,44,M,474,En Couple,4,true,1661 BF 66
890,31,M,1126,En Couple,1,true,6812 RI 70
902,36,M,1395,En Couple,0,true,5976 EY 97
905,42,M,436,En Couple,1,true,4887 RB 41
908,26,M,732,En Couple,3,true,9451 MC 76
917,18,M,554,En Couple,3,true,3984 FJ 92
926,51,M,152,En Couple,3,true,7818 UM 83
928,76,F,1053,En Couple,4,true,7425 PM 41
934,19,M,755,En Couple,2,true,1336 EI 97
945,29,M,421,En Couple,1,true,6375 ZU 73
948,21,M,1178,En Couple,2,true,9662 KJ 60
957,34,M,419,En Couple,4,true,5346 DQ 27
984,75,F,1009,En Couple,2,true,7913 YR 69
989,21,M,549,En Couple,0,true,7992 PN 42
1016,44,M,1351,En Couple,2,true,5551 JF 28
1022,24,F,763,En Couple,0,true,3732 HG 81
1027,27,F,1375,En Couple,3,true,2032 QT 22
1054,76,M,526,En Couple,1,true,7102 GR 20
1057,25,M,749,En Couple,3,true,2764 PB 49
1059,25,M,168,En Couple,2,true,7010 WQ 22
1066,40,F,1215,En Couple,3,true,8383 DB 89
1074,80,M,464,En Couple,0,true,1236 CD 33
1075,80,M,479,En Couple,0,true,3187 OB 66
1081,44,M,501,En Couple,1,true,1928 JC 16
1082,47,M,406,En Couple,4,true,4542 KB 54
1085,32,M,536,En Couple,4,true,5021 VB 68
1088,27,M,228,En Couple,4,true,7194 RC 73
1102,20,M,433,En Couple,4,true,3701 JN 71
1114,61,M,497,En Couple,4,true,1170 VV 29
1121,41,M,419,En Couple,1,true,9365 ZA 81
1129,44,M,530,En Couple,4,true,2717 SV 13
1141,38,M,539,En Couple,0,true,8629 VO 37
1145,37,M,491,En Couple,0,true,8358 KZ 74
1148,41,M,788,En Couple,3,true,7165 SG 79
1162,23,F,772,En Couple,2,true,7918 YV 81
1164,24,F,563,En Couple,2,true,2797 WI 81
1170,34,F,440,En Couple,1,true,7555 GN 63
1174,35,M,173,En Couple,0,true,5431 SH 24
1176,24,M,529,En Couple,2,true,4802 OE 91
1192,43,M,465,En Couple,1,true,5580 LR 98
1196,32,M,484,En Couple,0,true,3777 FB 97
1197,26,M,434,En Couple,1,true,9663 FR 67
1207,45,M,479,En Couple,0,true,2056 EY 90
1209,57,M,422,En Couple,1,true,2022 SG 92
1220,30,M,459,En Couple,4,true,875 NA 88
1222,59,F,441,En Couple,2,true,4301 PW 89
1223,57,F,488,En Couple,2,true,8943 NP 21
1248,69,M,191,En Couple,2,true,7519 DZ 84
1249,43,M,925,En Couple,3,true,8398 FP 58
1250,76,M,1238,En Couple,2,true,2175 GH 32
1252,67,M,1354,En Couple,1,true,2620 XV 26
1271,46,F,439,En Couple,0,true,8272 CY 65
1276,57,M,413,En Couple,2,true,2001 GY 89
1278,20,M,178,En Couple,2,true,6240 HD 28
1298,30,M,598,En Couple,4,true,3294 RH 81
1302,21,M,1268,En Couple,1,true,394 LM 58
1303,67,M,546,En Couple,0,true,9937 PK 93
1311,44,M,1318,En Couple,1,true,4440 RK 75
1314,78,N/D,226,En Couple,3,true,8750 TR 92
1320,76,M,411,En Couple,1,true,7843 TW 36
1334,47,M,560,En Couple,2,true,3072 TH 33
1336,34,M,473,En Couple,2,true,5442 YV 42
1339,38,N/D,179,En Couple,0,true,8243 SV 98
1344,26,F,498,En Couple,2,true,2929 BU 94
1358,22,F,181,En Couple,1,true,75 JQ 33
1359,78,M,189,En Couple,3,true,3681 UJ 16
1361,18,M,201,En Couple,1,true,4305 OR 67
1363,54,M,545,En Couple,2,true,2472 ZP 78
1364,43,M,869,En Couple,0,true,1846 BT 61
1369,80,M,199,En Couple,0,true,3363 OD 75
1381,47,M,761,En Couple,0,true,3179 ZO 14
1382,53,F,894,En Couple,4,true,106 WL 15
1384,23,M,578,En Couple,2,true,3753 DV 64
1386,21,M,248,En Couple,3,true,7026 UL 39
1406,25,F,449,En Couple,0,true,7034 RT 33
1422,23,F,792,En Couple,3,true,682 FI 82
1432,51,M,475,En Couple,1,true,2213 LL 59
1451,55,M,1195,En Couple,0,true,717 QO 12
1452,60,M,557,En Couple,3,true,3479 BZ 24
1479,53,F,454,En Couple,3,true,1725 QX 36
1480,41,F,791,En Couple,1,true,7238 GG 71
1485,19,F,402,En Couple,0,true,7035 CJ 67
1515,18,M,591,En Couple,3,true,9594 LW 77
1521,34,F,540,En Couple,3,true,715 VB 81
1527,43,M,230,En Couple,4,true,4836 NF 14
1530,48,F,427,En Couple,4,true,348 BS 68
1533,50,F,185,En Couple,2,true,8544 RC 57
1536,39,M,585,En Couple,4,true,356 VQ 37
1544,22,M,543,En Couple,1,true,2049 RO 90
1550,62,M,1323,En Couple,1,true,2972 MY 30
1559,33,M,485,En Couple,0,true,8489 QM 24
1560,61,F,206,En Couple,2,true,3931 MP 76
1565,28,M,1044,En Couple,1,true,3166 ZC 55
1572,53,M,452,En Couple,2,true,8276 IG 57
1574,63,M,209,En Couple,1,true,4270 UM 24
1588,71,F,1339,Marie(e),3,true,114 WT 51
1590,49,F,1035,En Couple,1,true,4019 CL 89
1612,51,M,1290,En Couple,3,true,6824 BZ 84
1637,54,M,1109,En Couple,2,true,9340 MD 10
1639,35,M,453,En Couple,4,true,8202 CX 29
1642,56,M,501,En Couple,0,true,827 NT 26
1646,83,M,1186,En Couple,1,true,2692 PG 42
1660,60,M,221,En Couple,4,true,732 ZM 14
1662,73,M,1065,En Couple,2,true,5317 XM 98
1670,20,M,486,En Couple,0,true,1006 BG 75
1673,71,M,423,En Couple,2,true,6129 RP 62
1680,68,M,224,En Couple,2,true,9156 VQ 94
1693,42,M,569,En Couple,0,true,7487 FD 48
1694,49,M,561,En Couple,3,true,7289 SX 65
1697,40,M,568,En Couple,2,true,5411 UH 80
1700,82,M,955,En Couple,3,true,2771 QO 78
1714,26,F,779,En Couple,1,true,9677 CH 61
1720,44,M,214,En Couple,0,true,7577 MB 75
1731,43,M,1194,En Couple,4,true,8422 DG 92
1736,24,F,482,En Couple,1,true,4671 HT 47
1743,58,F,1299,En Couple,3,true,3571 KW 95
1745,54,M,486,En Couple,0,true,9631 UX 18
1758,29,M,1026,En Couple,2,true,3970 KU 15
1759,43,M,414,En Couple,1,true,189 WZ 62
1765,28,F,589,En Couple,2,true,9385 RT 50
1770,24,M,1325,En Couple,1,true,3668 AJ 26
1780,23,M,563,En Couple,0,true,6708 SV 29
1781,19,M,187,En Couple,2,true,4826 MB 90
1787,62,M,441,En Couple,2,true,7979 QT 62
1791,31,F,1282,En Couple,2,true,1063 NM 44
1793,29,F,211,En Couple,2,true,7363 CW 81
1796,50,M,526,En Couple,3,true,9983 AA 62
1806,66,M,516,En Couple,3,true,2538 KZ 55
1810,29,M,571,En Couple,0,true,3450 MA 60
1811,24,F,501,En Couple,3,true,8874 QP 36
1814,52,M,831,En Couple,0,true,5400 FM 85
1817,33,M,542,En Couple,1,true,2462 JU 89
1821,44,F,1391,En Couple,0,true,4839 RT 16
1824,36,M,591,En Couple,3,true,4691 LJ 95
1835,37,M,785,En Couple,0,true,9516 ZA 45
1837,31,M,572,En Couple,1,true,6638 VS 83
1849,18,F,589,En Couple,3,true,1364 BM 71
1860,75,M,708,En Couple,2,true,8500 EK 21
1875,47,M,591,En Couple,0,true,7239 RV 69
1877,46,M,576,Marie(e), ,true,3178 OM 97
1881,43,F,192,En Couple,1,true,6115 JO 41
1888,80,F,521,En Couple,3,true,1633 XZ 59
1897,30,F,541,En Couple,4,true,11 YZ 55
1907,37,F,510,En Couple,4,true,7738 NN 74
1915,38,M,936,En Couple,3,true,2061 BE 73
1918,47,M,1065,En Couple,1,true,7105 LV 74
1929,21,F,1145,En Couple,4,true,5759 TL 36
1931,55,M,868,En Couple,1,true,9983 CE 30
1959,27,F,1255,En Couple,1,true,2305 LZ 65
1962,48, ,528,En Couple,0,true,4152 ED 42
1964,61,M,491,En Couple,1,true,5682 PC 37
1971,83,F,436,En Couple,4,true,5098 XO 25
1980,77,F,530,En Couple,1,true,9436 OR 50
1982,24,M,156,En Couple,3,true,2881 GR 24
1996,32,M,1183,En Couple,4,true,7971 TB 19
2010,61,F,478,En Couple,2,true,8111 ZM 39
2014,38,F,564,En Couple,0,true,9242 EJ 11
2015,46,F,213,En Couple,1,true,7422 AF 47
2024,23,F,521,En Couple,0,true,4661 ZB 92
2025,22,M,1074,En Couple,0,true,8060 JB 32
2027,29,F,175,En Couple,3,true,5999 WC 57
2028,26,F,151,En Couple,2,true,9812 KR 17
2031,32,M,1056,En Couple,4,true,9164 DG 35
2034,71,F,226,En Couple,4,true,1445 US 52
2044,32,M,935,En Couple,2,true,575 ML 71
2048,25,M,998,En Couple,0,true,1556 XS 78
2055,18,M,1393,En Couple,1,true,1345 VC 71
2056,25,M,852,En Couple,4,true,1187 GM 47
2059,53,M,937,En Couple,4,true,666 US 24
2077,55,M,208,En Couple,4,true,4736 DW 27
2088,32,M,564,En Couple,0,true,9490 TM 16
2089,27,M,232,En Couple,1,true,3312 NF 33
2095,34,M,155,En Couple,0,true,5418 ZJ 45
2098,29,F, ,En Couple,2,true,3788 OV 29
2100,29,F,523,En Couple,4,true,4255 QG 55
2101,45,M,488,En Couple,4,true,7736 KS 46
2102,22,F,1098,En Couple,3,true,3976 IJ 26
2107,19,F,502,En Couple,3,true,864 XX 87
2109,58,M,434,En Couple,2,true,7919 KW 93
2110,24,F,730,En Couple,4,true,6679 QA 22
2114,19,M,1216,En Couple,3,true,1586 MZ 15
2117,27,M,729,En Couple,0,true,4082 FE 66
2118,33,F,546,En Couple,3,true,9602 MW 40
2126,25,M,484,En Couple,2,true,5884 TA 70
2135,70,M,483,En Couple,2,true,3579 SM 70
2137,62,M,1009,En Couple,1,true,2411 KT 91
2138,52,F,580,En Couple,3,true,8623 PD 28
2141,26,F,430,En Couple,3,true,9335 MR 75
2149,47,M,800,En Couple,1,true,7567 IF 34
2153,77,M,589,En Couple,1,true,6005 VQ 87
2163,31,M,519,En Couple,0,true,38 GU 98
2172,53,F,423,En Couple,4,true,1275 HN 73
2180,73,M,155,En Couple,3,true,5515 JF 96
2183,44,M,211,En Couple,0,true,1240 HX 15
2188,67,M,1299,En Couple,2,true,7139 DG 15
2211,29,F,510,En Couple,1,true,4884 US 37
2214,25,F,1010,En Couple,0,true,1212 RN 94
2215,19,M,555,En Couple,1,true,5451 IZ 71
2233,36,M,158,En Couple,4,true,9606 YV 42
2236,49,M,579,En Couple,3,true,6708 EN 32
2250,32,M,162,En Couple,4,true,3791 QU 33
2252,47,F,207,En Couple,2,true,1292 JN 31
2257,33,M,238,En Couple,2,true,4973 WE 52
2262,51,F,928,En Couple,3,true,3946 RO 16
2272,44,F,897,En Couple,2,true,9535 AW 76
2283,60,M,884,En Couple,4,true,8009 DI 68
2295,49,F,249,En Couple,0,true,4976 NW 84
2298,31,M,460,En Couple,2,true,8910 GV 95
2313,50,M,524,En Couple,3,true,6624 DL 60
2324,36,M,228,En Couple,0,true,3418 UP 88
2326,25,M,545,En Couple,3,true,6437 BE 55
2330,52,M,235,En Couple,1,true,5397 GT 51
2339,41,F,433,En Couple,0,true,2057 ZV 22
2344,51,F,169,En Couple,2,true,9223 CD 22
2353,49,M,504,En Couple,4,true,3556 HO 37
2359,18,M,407,En Couple,3,true,7001 PE 12
2364,26,F,743,En Couple,0,true,6443 HH 27
2366,23,M,547,En Couple,0,true,7451 OA 47
2370,82,M,529,En Couple,3,true,7223 NF 32
2375,50,M,528,En Couple,2,true,2857 VG 30
2378,61,M,1178,En Couple,2,true,254 PF 82
2390,33,F,556,En Couple,4,true,1410 ZW 38
2391,28,M,194,En Couple,2,true,5659 FT 64
2400,18,M,167,En Couple,4,true,6888 RN 53
2407,67,M,226,En Couple,0,true,3199 UL 22
2409,34,M,202,En Couple,4,true,8080 XL 31
2417,18,F,229,En Couple,4,true,9118 RM 95
2419,74,M,411,En Couple,0,true,1409 HZ 15
2420,21,M,404,En Couple,3,true,140 WC 34
2424,72,M,539,En Couple,0,true,4309 NX 22
2427,39,M,202,Marie(e),0,true,3462 UO 48
2434,65,F,545,En Couple,1,true,777 RE 33
2448,41,M,586,En Couple,0,true,8250 OV 12
2453,46,F,1316,En Couple,0,true,6366 ZK 29
2454,27,M,199,En Couple,2,true,3856 FG 88
2470,42,M,475,En Couple,3,true,6204 ML 49
2479,35,M,185,En Couple,4,true,6102 MR 59
2488,25,M,560,En Couple,2,true,9549 EC 76
2496,55,F,1052,En Couple,1,true,2033 TQ 92
2497,55,M,769,En Couple,3,true,7828 AL 56
2506,23,F,420,En Couple,1,true,516 PZ 72
2510,66,M,520,En Couple,2,true,1457 MK 81
2516,57,M,166,En Couple,0,true,2977 ES 89
2529,75,M,1260,En Couple,3,true,6043 HU 85
2535,58,F,452,En Couple,1,true,5820 ZU 30
2537,58,M,432,En Couple,1,true,1537 HE 84
2538,71,M,182,En Couple,2,true,6047 GO 74
2539,40,M,194,Marie(e),0,true,6228 DU 71
2547,21,F,544,En Couple,4,true,2851 TA 15
2558,24,M,439,En Couple,1,true,3114 BZ 37
2562,24,M,444,En Couple,1,true,5363 FV 78
2563,32,F,513,En Couple,0,true,3376 MW 40
2565,30,M,1368,En Couple,2,true,7626 LX 74
2573,83,M,1131,En Couple,0,true,5026 GZ 90
2576,63,M,480,En Couple,2,true,5215 WZ 67
2577,18,M,465,En Couple,2,true,6563 OF 15
2589,68,M,496,En Couple,2,true,9681 HX 79
2594,67,M,572,En Couple,3,true,8991 MR 45
2595,70,M,448,En Couple,2,true,9610 WK 42
2599,51,M,571,En Couple,0,true,1238 PP 79
2602,30,M,561,En Couple,3,true,3703 CC 43
2605,69,M,946,En Couple,1,true,5181 RR 92
2606,19,M,231,En Couple,1,true,3797 KD 11
2607,51,F,591,En Couple,3,true,7135 MY 89
2608,67,F,589,En Couple,3,true,2434 FR 27
2616,69,M,1030,En Couple,0,true,5221 KX 39
2623,18,F,245,En Couple,0,true,9996 SS 55
2641,24,M,463,En Couple,2,true,4244 KS 84
2643,37,F,157,En Couple,1,true,7901 QQ 85
2653,36,M,1082,En Couple,0,true,2936 SB 84
2672,26,M,737,En Couple,2,true,3320 JN 22
2687,34,M,1205,En Couple,4,true,3764 ZV 74
2693,47,F,167,En Couple,0,true,9761 RJ 94
2694,76,M,538,En Couple,4,true,129 EZ 26
2716,53,M,453,En Couple,4,true,7486 EI 35
2717,63,F,507,En Couple,0,true,6209 VE 29
2732,22,M,858,En Couple,3,true,1218 MN 16
2740,60,M,1168,En Couple,4,true,7179 EP 36
2751,51,M,158,En Couple,0,true,7614 DE 19
2760,42,M,244,En Couple,3,true,9699 YY 72
2764,27,M,1050,En Couple,1,true,2591 ME 37
2768,60,M,188,En Couple,3,true,2214 IW 33
2781,49,M,212,En Couple,1,true,6444 OV 26
2784,20,M,1087,En Couple,3,true,8998 XS 65
2797,45,M,246,En Couple,3,true,1394 DZ 45
2817,30,M,784,En Couple,0,true,1287 PJ 46
2841,30,M,488,En Couple,1,true,1246 TB 74
2853,27,M,474,En Couple,2,true,8553 JE 41
2865,21,M,1049,En Couple,0,true,4666 ZE 16
2875,51,F,477,En Couple,3,true,8669 EV 59
2878,71,M,509,En Couple,4,true,9442 MA 13
2879,73,F,521,En Couple,-1,true,825 RL 66
2880,29,M,509,En Couple,0,true,6721 RJ 39
2884,20,F,547,En Couple,0,true,8421 FO 20
2895,29,F,175,En Couple,1,true,2826 SS 62
2896,69,M,588,En Couple,4,true,335 YS 81
2911,47,M,559,En Couple,2,true,1341 SH 64
2927,49,M,174,En Couple,2,true,1570 WB 43
2931,69,M,1364,En Couple,1,true,3944 QV 70
2939,37,F,511,En Couple,1,true,5071 BE 30
2955,65,M,546,En Couple,2,true,6953 NQ 41
2958,50,M,535,En Couple,0,true,2956 VP 43
2963,19,F,403,En Couple,2,true,6771 LN 66
2966,64,F,580,En Couple,1,true,3022 VO 29
2968,34,F,753,En Couple,0,true,4215 HH 97
2970,19,F,569,En Couple,1,true,9911 OI 29
2985,48,M,517,En Couple,1,true,5411 AJ 62
3010,34,M,859,En Couple,2,true,8917 AT 40
3037,72,M,493,En Couple,0,true,3261 WC 60
3043,82,M,172,En Couple,0,true,6770 EV 91
3062,76,M,216,En Couple,2,true,5711 BD 97
3068,82,M,1227,En Couple,2,true,4029 ZC 63
3075,52,M,569,En Couple,3,true,891 XY 38
3076,63,F,595,Marie(e),2,true,9489 GD 97
3079,77,M,525,En Couple,1,true,7000 CW 91
3083,27,F,1228,En Couple,2,true,2564 XA 69
3087,31,F,577,En Couple,1,true,2698 YO 65
3088,56,M,197,En Couple,0,true,8979 HB 66
3089,28,M,496,En Couple,0,true,5569 BM 86
3094,54,F,1174,En Couple,2,true,145 CP 46
3097,45,M,169,En Couple,0,true,1694 AA 82
3104,38,F,1317,En Couple,4,true,8422 UK 69
3111,53,M,425,En Couple,1,true,9 RE 32
3116,27,M,581,En Couple,2,true,1118 IR 29
3123,19,M,571,En Couple,1,true,6125 BD 33
3131,78,M,401,En Couple,0,true,993 XX 84
3154,56,M,510,En Couple,0,true,6794 EW 74
3186,82,M,238,En Couple,3,true,4383 GA 55
3190,22,M,765,En Couple,3,true,6761 XZ 53
3191,43,F,1393,En Couple,0,true,7201 HI 57
3192,45,M,460,En Couple,3,true,9458 XI 31
3229,30,M,982,En Couple,2,true,8386 FN 82
3231,74,M,427,En Couple,0,true,999 PU 61
3233,46,M,438,En Couple,0,true,6969 SJ 64
3242,19,M,175,En Couple,4,true,9822 UQ 87
3251,62,M,587,En Couple,1,true,4091 GT 77
3258,41,F,160,En Couple,2,true,1581 ED 58
3262,76,M,215,En Couple,1,true,7716 AX 69
3275,34,M,1153,En Couple,1,true,6267 QL 95
3286,22,F,420,En Couple,0,true,5413 ZL 94
3289,53,M,477,En Couple,3,true,3915 IM 62
3300,45,M,188,En Couple,2,true,4655 PA 16
3306,52,M,246,En Couple,4,true,3003 FE 63
3307,23,M,730,En Couple,1,true,3842 AC 37
3318,41,M,201,En Couple,1,true,3578 CT 34
3321,65,M,569,En Couple,2,true,4744 QF 67
3325,83,M,520,En Couple,0,true,7360 IB 94
3331,41,F,486,En Couple,4,true,7640 MV 34
3333,23,M,475,En Couple,4,true,3115 FU 33
3334,49,M,181,En Couple,4,true,8061 YW 82
3342,23,M,1298,En Couple,1,true,3740 OO 32
3353,22,F,211,En Couple,3,true,4014 UW 85
3359,37,F,1243,En Couple,1,true,5535 YG 41
3368,81,M,246,En Couple,2,true,5946 BZ 11
3377,45,F,725,En Couple,4,true,6449 UP 53
3383,35,M,483,En Couple,1,true,6105 IZ 65
3388,24,M,436,En Couple,2,true,6153 EJ 39
3391,20,F,516,En Couple,1,true,1538 VS 72
3392,77,M,1088,En Couple,0,true,4961 DP 73
3393,29,M,419,En Couple,1,true,738 FV 26
3396,62,M,176,En Couple,1,true,8518 JX 59
3400,58,M,471,En Couple,0,true,9709 PX 72
3411,62,M,540,En Couple,0,true,6355 QD 38
3417,58,F,184,En Couple,1,true,6467 TJ 44
3427,21,F,211,En Couple,1,true,6036 UI 26
3430,42,M,834,En Couple,2,true,6672 ES 23
3433,47,F,572,En Couple,1,true,3448 SU 89
3444,58,M,567,En Couple,1,true,4533 LM 85
3457,46,F,437,En Couple,2,true,1428 WV 74
3458,59,M,741,En Couple,1,true,7562 NN 59
3459,55,M,790,En Couple,2,true,5203 TT 51
3460,52,M,454,En Couple,2,true,3021 MI 94
3462,23,M,740,En Couple,1,true,6503 FX 85
3465,68,M,577,En Couple,0,true,8963 FM 86
3471,34,F,222,En Couple,2,true,4704 II 48
3479,22,M,243,En Couple,0,true,5575 XQ 64
3484,41,M,511,En Couple,1,true,7048 RR 69
3488,22,F,886,En Couple,1,true,7128 EF 91
3490,30,F,449,En Couple,0,true,7171 YD 13
3513,40,M,464,En Couple,0,true,6138 RD 71
3531,36,M,226,En Couple,2,true,8962 GF 14
3535,18,M,432,En Couple,0,true,7179 HI 14
3539,22,M,857,En Couple,0,true,9251 BS 71
3540,84,M,203,En Couple,2,true,6507 VL 42
3550,20,F,497,En Couple,1,true,8728 SE 93
3551,29,M,546,En Couple,1,true,8547 TI 83
3553,46,F,410,En Couple,1,true,8863 ZO 44
3564,54,M,1309,En Couple,3,true,5701 CV 76
3577,37,F,540,En Couple,0,true,3845 SI 80
3588,58,M,455,En Couple,1,true,8418 UT 70
3593,43,M,747,En Couple,1,true,7142 GD 78
3611,36,M,587,En Couple,2,true,5401 SY 74
3612,41,M,1107,En Couple,2,true,7278 KU 57
3651,47,F,593,En Couple,4,true,7042 WC 34
3663,35,F,900,En Couple,2,true,4566 VH 17
3671,35,M,573,En Couple,1,true,6826 TZ 10
3682,40,M,575,En Couple,4,true,4520 DX 63
3683,57,F,550,En Couple,1,true,3901 LZ 19
3685,19,M,187,En Couple,1,true,569 JA 33
3686,38,M,595,En Couple,4,true,5145 TA 38
3687,83,M,970,En Couple,2,true,2280 VS 29
3688,82,M,461,En Couple,4,true,3070 AP 18
3701,22,F,560,En Couple,2,true,457 ZW 66
3706,21,M,1272,En Couple,4,true,3335 XQ 63
3715,22,F,188,En Couple,1,true,5680 UY 51
3717,21,F,581,En Couple,1,true,5495 FC 68
3720,68,F,491,En Couple,2,true,5173 HA 47
3735,58,F,409,En Couple,1,true,831 QI 68
3739,28,M,1229,En Couple,0,true,7261 KZ 36
3741,59,M,474,En Couple,4,true,2547 IB 26
3742,44,M,514,En Couple,3,true,2231 CQ 33
3744,25,M,168,En Couple,0,true,4236 UR 71
3759,26,M,194,En Couple,4,true,252 EL 23
3766,25,M,593,En Couple,0,true,8454 VE 59
3769,48,F,856,En Couple,2,true,6463 KN 24
3775,24,M,1231,En Couple,1,true,6210 EM 97
3778,62,M,424,En Couple,2,true,8082 VN 84
3785,49,F,553,En Couple,1,true,1258 OW 15
3791,27,F,494,En Couple,1,true,9865 VM 22
3792,57,M,221,En Couple,3,true,8702 VK 31
