Age,Taux,Enfants à charge,seconde_voiture
24,1258,2,false
29,539,0,false
20,808,0,false
18,537,2,false
43,226,3,false
42,821,1,false
29,166,1,false
41,497,0,false
28,1181,3,false
37,486,0,false
73,584,0,false
34,1158,4,false
19,1158,2,false
76,511,4,false
22,249,2,false
61,497,0,false
27,1116,2,false
48,474,0,false
27,516,0,false
29,1358,0,false
75,593,1,false
79,568,0,false
44,1000,2,false
45,428,2,false
47,185,0,false
20,180,2,false
72,1345,0,false
22,548,0,false
20,479,1,false
43,179,0,false
43,992,4,false
27,408,0,false
55,585,4,true
45,710,0,false
58,195,1,false
36,151,3,false
40,496,0,true
77,975,0,false
28,425,0,false
43,954,2,false
56, ,3,false
36,178,0,false
69,489,0,false
53,576,0,false
30,786,1,false
55,510,0,false
59,167,0,false
79,181,2,false
35,429,2,false
67,573,4,true
56,413,0,false
29,947,1,false
73,1028,0,false
30,181,0,false
76,458,0,false
56,545,3,false
59,1111,2,false
65,463,1,false
68,416,4,true
39,202,2,false
48,240,4,false
28,726,1,false
40,464,0,false
72,958,1,false
31,473,4,true
62,207,4,false
28,1389,0,false
18,232,0,false
30,495,0,false
79,537,0,false
48,1145,4,true
50,174,0,false
24,209,0,false
24,560,0,false
26,1029,0,false
31,559,2,false
36,239,1,false
40,1160,0,false
55,1175,0,false
30,970,0,false
18,745,0,false
34,1231,0,false
55,993,1,false
24,166,2,false
54,421,0,false
60,530,4,false
55,564,4,true
71,930,1,false
38,481,0,true
27,525,0,false
35,451,0,false
23,458,2,false
49,508,0,false
38,1290,2,false
66,821,2,false
74,464,1,false
37,959,0,false
60,532,0,false
23,502,0,false
54,1321,0,false
57,231,0,false
22,442,1,false
19,956,3,false
38,196,1,false
37,1218,4,false
24,472,0,false
47,508,2,false
54,232,2,false
35,463,0,false
36,1085,0,false
77,184,3,false
28,531,1,false
32,1397,0,false
34,472,4,true
41,1265,0,false
24,489,3,false
46,1191,3,false
31,1100,0,false
52,497,0,true
81,1185,0,false
40,426,3,true
23,1358,2,false
51,1180,0,false
24,240,3,false
20,224,2,false
20,591,3,false
39,855,0,true
40,883,0,false
40,475,2,false
50,172,4,false
27,577,0,false
19,165,3,false
38,183,4,false
53,1288,3,false
21,1346,2,false
81,540,1,false
70,236,0,false
26,795,0,false
68,476,1,false
40,476,4,false
18,435,2,false
45,403,0,false
24,228,2,false
31,578,0,false
21,417,2,false
30,442,2,false
41,553,0,false
36,505,0,false
77,470,2,false
24,248,0,false
39,730,3,false
43,463,0,true
46,455,4,false
53,923,2,true
22,536,0,false
32,554,2,false
39,470,1,false
40,568,4,false
49,474,0,false
50,480,0,false
40,209,0,false
54,529,0,false
53,523,4,true
67,480,4,true
80,949,1,false
43,213,4,false
23,474,2,false
68,928,4,false
52,507,4,false
84,747,3,true
84,786,2,false
29,468,0,false
70,176,0,false
65,528,0,false
48,150,2,false
53,443,2,false
45,512,0,true
41,552,0,false
45,460,3,false
69,1109,0,false
25,412,1,true
18,1188,2,false
28,425,2,false
57,482,2,false
23,401,0,false
36,167,4,false
42,512,0,false
29,503,2,false
55,521,2,false
62,564,0,false
66,538,0,false
41,1242,2,false
28,195,0,false
55,524,3,false
24,440,0,false
64,1206,0,false
39,1064,0,false
19,1310,0,false
29,747,0,false
21,735,0,false
43,419,3,false
19,241,0,false
53,933,0,false
83,171,3,true
30,460,0,true
27,448,1,false
75,851,4,false
22,195,1,true
31,455,0,false
60,442,3,true
51,941,3,false
61,512,1,true
42,1270,0,false
52,540,3,false
44,978,0,false
39,509,2,false
22,1013,0,false
28,1335,1,false
44,459,0,true
58,563,2,false
84,402,2,false
69,494,1,false
38,501,0,false
31,159,0,false
40,500,1,false
28,992,2,false
30,179,2,false
42,452,2,false
75,433,4,false
35,781,2,false
44,505,3,false
32,464,0,false
23,738,1,false
38,519,1,false
59,700,1,false
20,407,0,false
26,531,2,false
37,941,1,false
25,184,0,false
59,432,0,false
56,579,0,false
28,186,0,true
67,470,3,false
58,1093,0,false
59,202,3,false
29,1025,1,false
34,1191,0,false
49,506,0,false
24,706,0,false
34,575,0,false
48,742,4,false
29,523,1,false
25,515,0,false
81,974,1,false
48,566,4,false
19,1335,3,true
58,188,0,true
63,451,0,false
64,1386,1,false
74,585,1,false
80,857,4,true
73,459,3,false
56,857,0,false
58,829,0,true
18,464,2,false
44,543,0,false
23,208,0,true
51,446,0,false
18,535,0,false
71,597,0,false
25,404,4,false
37,215,2,true
50,190,1,false
22,180,1,false
63,517,0,false
58,588,0,false
32,583,0,false
36,934,1,false
59,239,2,false
44,411,2,false
40,490,2,false
38,415,2,false
74,404,2,false
73,593,4,false
54,863,0,true
77,593,0,false
40,978,2,true
37,462,2,false
29,187,1,false
25,1135,3,false
74,165,1,false
43,1027,2,false
78,414,1,true
41,166,0,false
74,162,3,false
24,1063,0,false
26,1312,4,false
21,1226,2,false
24,571,2,true
74,1009,3,false
53,218,3,true
36,560,2,false
56,442,0,false
78,549,4,false
84,197,0,false
78,151,2,false
19,451,0,false
38,456,4,false
50,1338,1,false
19,1006,4,true
20,217,1,false
47,756,1,true
29,473,4,false
18,526,1,false
19,245,2,false
40,443,2,false
58,407,3,false
46,537,1,false
53,772,3,false
42,1333,0,false
50,1377,2,false
74,975,1,true
53,934,1,false
59,593,3,true
29,192,3,false
33,803,0,false
27,564,0,false
50,169,0,false
53,221,0,false
48,413,0,false
52,441,3,false
34,1275,0,false
34,1114,0,false
47,1200,1,false
80,189,0,false
44,1350,0,false
44,422,1,false
49,1195,0,false
22,540,0,false
49,830,0,false
33,465,3,false
22,925,0,false
81,1152,0,false
24,496,2,false
29,523,4,false
42,1267,2,false
63,152,2,false
34,247,0,false
20,937,1,false
27,521,0,false
24,224,0,false
48,982,3,false
75,766,0,false
65,596,4,false
50,464,2,true
53,898,2,false
75,501,1,false
53,240,2,false
35,418,1,true
29,534,4,false
30,220,4,false
69,155,3,false
30,1214,3,false
73,1104,1,true
73,434,3,false
28,778,1,true
28,1146,2,false
49,481,4,true
79,593,3,true
28,506,3,false
28,487,0,false
59,944,1,false
25,176,0,false
60,238,3,false
35,183,1,false
18,864,0,false
20,1034,0,false
23,542,0,false
36,578,2,false
47,938,4,false
19,1079,1,false
24,555,4,false
36,1269,0,false
57,1015,2,false
83,161,2,false
48,470,0,false
59,1068,0,false
80,1112,1,true
51,574,0,false
68,454,2,false
50,593,0,true
44,550,4,false
49,474,0,false
51,183,0,false
71,1249,0,false
26,1062,3,true
31,724,0,false
32,554,2,false
51,225,0,true
37,215,0,false
25,1221,0,false
35,788,4,false
53,747,1,false
26,177,2,false
47,430,1,false
24,415,4,false
61,539,4,false
57,594,2,false
39,854,2,false
36,220,1,true
57,562,0,false
80,453,3,false
51,584,0,false
31,496,0,false
30,209,0,false
84,409,4,true
31,193,0,false
43,809,3,false
22,521,2,true
19,875,3,false
67,912,0,true
35,508,2,false
67,481,3,true
59,519,0,false
67,749,2,false
75,591,0,false
53,1021,0,false
19,423,0,false
31,564,0,false
69,193,0,false
49,735,0,false
30,-1,0,false
44,1212,2,false
31,949,0,false
72,1200,2,true
62,586,1,false
59,535,0,false
54,1332,4,false
33,456,0,false
20,156,0,false
18,558,1,false
83,773,1,false
34,434,0,false
43,1180,1,false
33,1362,2,true
74,561,1,false
66,1083,0,false
82,572,0,false
29,730,0,false
73,473,4,false
36,587,0,false
37,1195,3,false
24,172,1,true
25,845,0,false
51,715,0,false
61,781,0,false
59,945,3,true
74,519,3,false
25,409,1,true
75,714,1,false
33,885,1,true
29,238,3,false
25,183,0,false
47,586,3,true
28,1162,0,false
18,924,0,false
27,578,0,true
47,1110,0,false
22,913,0,false
21,465,0,false
53,204,0,false
78,910,2,false
47,817,3,false
18,423,3,false
39,222,3,true
52,462,0,false
41,492,0,false
40,429,3,false
68,474,3,false
78,225,0,false
56,1043,1,false
76,548,0,false
63,936,0,false
37,232,0,false
24,507,0,false
19,460,4,false
28,161,1,false
56,421,0,false
42,470,1,true
52,558,0,true
43,548,0,false
23,750,1,false
50,1130,2,false
63,490,2,false
28,917,0,false
40,1122,3,true
43,420,3,false
27,1130,0,false
53,464,0,false
22,1015,0,false
57,1160,3,false
68,535,4,false
60,918,0,false
57,160,0,false
57,537,0,false
84,499,1,false
58,449,1,false
67,402,2,false
49,154,0,false
47,162,0,false
44,1238,0,false
25,187,0,false
78,516,0,false
24,558,0,false
56,876,2,false
47,498,0,false
44,474,4,true
47,512,3,false
71,479,0,false
24,437,2,false
80,203,1,false
22,702,0,false
45,582,2,false
31,1126,1,true
21,235,1,false
18,567,0,false
23,1261,0,false
39,165,2,false
81,401,0,false
20,520,2,false
83,1151,0,false
30,506,2,false
43,494,2,false
42,1253,3,false
37,155,1,false
36,1395,0,true
80,201,1,false
43,719,2,false
42,436,1,true
69,486,2,false
44,403,3,false
26,732,3,true
18,419,2,false
64,539,1,false
22,1346,2,false
29,451,0,false
73,512,1,false
29,205,0,false
54,522,4,false
25,173,3,false
18,554,3,true
36,468,2,false
39,410,-1,false
76,498,2,false
42,218,0,false
42,499,0,false
52,1209,0,false
82,237,0,false
62,453,0,false
51,152,3,true
58,468,2,false
76,1053,4,true
27,419,0,false
51,208,0,false
38,960,0,false
64,220,0,false
49,1127,2,false
19,755,2,true
26,477,0,false
57,1220,0,false
31,899,2,false
19,228,0,false
63,556,4,false
50,1237,4,false
73,230,1,false
67,508,2,false
18,504,4,false
26,171,4,false
29,421,1,true
71,417,3,false
35,508,1,false
21,1178,2,true
45,176,0,false
28,801,0,false
64,497,1,false
36,507,3,false
51,179,0,false
40,1261,0,false
21,463,0,false
47,1295,0,false
34,419,4,true
28,1312,4,false
23,227,0,false
34,759,1,false
20,509,0,false
18,538,0,false
50,486,0,false
32,211,2,false
29,1218,0,false
41,441,0,false
45,490,4,false
68,225,0,false
59,406,0,false
25,1394,0,false
40,709,0,false
53,441,4,false
29,509,0,false
39,498,2,false
20,493,0,false
61,181,0,false
21,552,0,false
26,1146,2,false
25,238,0,false
48,918,1,false
36,191,0,false
55,761,0,false
48,469,1,false
75,1009,2,true
22,900,0,false
79,167,0,false
82,235,0,false
43,599,0,false
21,549,0,true
18,541,4,false
39,416,-1,false
61,168,0,false
31,486,1,false
24,453,0,false
68,165,3,false
73,158,0,false
29,497,1,false
32,213,1,false
65,713,1,false
29,1290,0,false
43,714,2,false
28,1041,4,false
20,456,0,false
66,524,2,false
22,215,0,false
32,1201,2,false
79,587,0,false
59,450,0,false
40,1297,4,false
26,1083,1,false
21,1006,0,false
34,1363,3,false
24,513,0,false
44,1183,3,false
19,1333,0,false
44,1351,2,true
25,475,4,false
70,453,1,false
33,786,0,false
53,887,0,false
49,578,0,false
24,763,0,true
24,704,0,false
23,433,0,false
39,560,0,false
42,1118,0,false
27,1375,3,true
69,221,3,false
50,577,0,false
45,408,4,false
52,821,0,false
19,172,1,false
48,489,3,false
55,565,0,false
66,578,0,false
26,1144,0,false
39,547,0,false
23,152,2,false
51,483,0,false
32,852,0,false
27,873,1,false
25,448,2,false
37,551,4,false
26,574,4,false
51,562,0,false
57,168,0,false
66,491,0,false
33,554,0,false
32,246,0,false
68,1081,0,false
26,566,0,false
20,243,1,false
50,-1,1,false
76,526,1,true
49,154,1,false
50,230,0,false
25,749,3,true
50,1254,4,false
25,168,2,true
26,538,1,false
61,535,0,false
29,1163,0,false
26,459,0,false
52,223,0,false
47,567,1,false
40,1215,3,true
50,493,4,false
32,0,2,false
47,538,1,false
46,1365,0,false
22,470,4,false
58,541,3,false
41,196,4,false
80,464,0,true
80,479,0,true
28,588,0,false
21,1262,0,false
26,413,0,false
49,447,0,false
50,179,0,false
44,501,1,true
47,406,4,true
81,1355,3,false
70,568,2,false
32,536,4,true
19,533,3,false
28,1157,3,false
27,228,4,true
26,509,4,false
81,518,1,false
46,1143,0,false
32,1201,2,false
33,452,0,false
56,559,0,false
78,516,1,false
19,506,0,false
49,554,0,false
46,1351,3,false
18,837,0,false
20,1269,0,false
20,151,1,false
20,433,4,true
43,959,0,false
21,761,0,false
28,205,0,false
82,953,0,false
37,478,0,false
25,558,3,false
57,1042,1,false
29,1309,0,false
67,703,2,false
30,1195,0,false
24,164,0,false
61,497,4,true
31,1149,0,false
40,402,2,false
20,1160,4,false
23,1103,0,false
40,453,0,false
38,457,0,false
41,419,1,true
61,493,1,false
22,955,2,false
83,523,2,false
64,1055,1,false
23,169,0,false
69,560,1,false
28,940,0,false
44,530,4,true
74,159,3,false
73,1069,3,false
29,401,1,false
32,1001,3,false
20,1322,0,false
48,1111,4,false
70,439,4,false
27,437,4,false
45,445,1,false
57,1070,0,false
82,1300,1,false
38,539,0,true
80,429,4,false
30,409,1,false
33,562,0,false
37,491,0,true
29,209,0,false
50,228,1,false
41,788,3,true
55,507,4,false
18,413,1,false
26,532,0,false
47,172,4,false
19,947,1,false
19,1352,3,false
19,1150,0,false
36,501,1,false
81,248,1,false
41,211,0,false
59,580,0,false
57,546,2,false
53,1247,2,false
23,772,2,true
63,445,0,false
24,563,2,true
69,209,0,false
31,436,2,false
53,458,0,false
27,406,0,false
64,477,0,false
34,440,1,true
55,503,0,false
25,519,0,false
22,1155,0,false
35,173,0,true
81,1037,2,false
24,529,2,true
81,816,3,false
23,201,0,false
49,549,0,false
42,1062,0,false
56,1043,1,false
49,796,0,false
75,568,1,false
27,184,1,false
30,403,2,false
20,929,0,false
64,579,2,false
78,599,0,false
80,246,3,false
23,247,3,false
48,242,0,false
43,465,1,true
81,444,0,false
63,1357,2,false
56,150,0,false
32,484,0,true
26,434,1,true
49,915,0,false
52,557,2,false
44,579,0,false
20,193,2,false
33,440,3,false
69,160,0,false
32,447,2,false
57,430,0,false
39,511,0,false
45,479,0,true
47,457,4,false
57,422,1,true
26,416,0,false
54,516,0,false
22,572,0,false
52,801,3,false
48,1203,2,false
53,178,0,false
59,583,0,false
76,215,0,false
18,506,2, 
49,234,2,false
30,459,4,true
21,163,0,false
59,441,2,true
57,488,2,true
65,444,0,false
79,820,0,false
25,163,4,false
80,876,3,false
71,805,3,false
58,533,1,false
23,201,0,false
57,1389,0,false
44,888,2,false
72,241,2,false
36,594,0,false
81,460,4,false
47,237,0,false
20,1295,0,false
21,150,0,false
43,490,0,false
28,560,3,false
28,1321,4,false
26,230,0,false
28,566,3,false
59,561,0,false
35,476,4,false
27,569,0,false
39,157,1,false
69,191,2,true
43,925,3,true
76,1238,2,true
19,701,0,false
67,1354,1,true
47,921,0,false
34,524,1,false
40,1024,0,false
71,168,1,false
33,745,2,false
21,488,0,false
44,475,1,false
19,236,0,false
18,204,4,false
32,1346,2,false
55,477,4,false
49,242,1,false
49,1144,0,false
47,844,4,false
65,1249,0,false
42,1237,0,false
27,420,0,false
35,493,2,false
46,439,0,true
39,439,0,false
30,715,0,false
49,453,0,false
78,168,0,false
57,413,2,true
62,177,4,false
20,178,2,true
49,758,0,false
66,438,0,false
57,521,4,false
55,527,3,false
31,579,4,false
76,548,1,false
21,576,0,false
71,203,0,false
43,932,0,false
39,1295,0,false
76,756,0,false
29,495,1,false
47,1033,0,false
50,850,2,false
39,235,2,false
82,714,4,false
26,721,1,false
60,826,0,false
24,524,0,false
30,598,4,true
18,524,0,false
84,1164,3,false
62,403,0,false
21,1268,1,true
67,546,0,true
48,1139,1,false
37,455,0,false
23,741,2,false
27,198,1,false
55,1003,0,false
25,723,0,false
38,188,0,false
44,1318,1,true
33,893,1,false
43,896,1,false
78,226,3,true
18,1016,1,false
25,748,2,false
47,531,0,false
83,450,2,false
39,437,1,false
76,411,1,true
39,465,2,false
83,429,1,false
50,1355,2,false
72,550,0,false
41,184,2,false
59,1202,0,false
61,593,0,false
37,505,0,false
80,197,3,false
39,236,1,false
25,210,1,false
19,187,0,false
55,840,4,false
47,560,2,true
59,1135,0,false
34,473,2,true
42,411,4,false
70,589,1,false
38,179,0,true
50,581,0,false
18,1384,2,false
23,531,0,false
69,1170,4,false
26,498,2,true
55,492,0,false
32,1330,0,false
65,204,3,false
27,795,0,false
18,159,3,false
46,1320,2,false
19,476,0,false
38,208,4,false
28,484,0,false
58,502,2,false
42,462,1,false
31,204,3,false
55,933,0,false
22,181,1,true
78,189,3,true
66,1362,1,false
18,201,1,true
32,1280,3,false
54,545,2,true
43,869,0,true
24,481,3,false
24,1103,1,false
62,1247,0,false
29,737,1,false
80,199,0,true
66,524,4,false
20,581,0,false
0,553,3,false
21,530,0,false
45,567,0,false
50,483,1,false
25,546,1,false
54,574,2,false
49,532,0,false
54,549,2,false
22,518,4,false
47,761,0,true
53,894,4,true
73,827,0,false
23,578,2,true
78,554,0,false
21,248,3,true
44,577,4,false
32,524,0,false
71,1027,4,false
50,543,1,false
46,567,0,false
59,957,4,false
51,549,1,false
24,429,0,false
57,1328,0,false
22,441,0,false
81,559,2,false
41,438,1,false
25,487,0,false
28,199,2,false
50,1118,2,false
41,1326,2,false
25,1280,4,false
31,1392,4,false
20,410,0,false
25,449,0,true
21,804,4,false
76,717,0,false
28,819,2,false
38,500,0,false
38,1369,1,false
40,1148,2,false
29,183,2,false
80,505,4,false
74,524,0,false
84,720,3,false
22,402,0,false
40,1328,0,false
44,903,1,false
40,930,3,false
52,519,0,false
23,792,3,true
70,567,0,false
 ,548,4,false
77,976,0,false
21,491,0,false
22,1345,0,false
75,407,0,false
80,513,0,false
21,152,0,false
41,581,1,false
51,475,1,true
70,720,1,false
71,561,0,false
43,196,2,false
41,1331,0,false
68,535,2,false
29,487,1,false
53,447,0,false
57,935,0,false
28,455,0,false
47,1259,0,false
51,592,0,false
84,905,4,false
37,507,4,false
33,1218,0,false
26,946,2,false
55,1034,0,false
56,539,1,false
31,1233,0,false
55,1195,0,true
60,557,3,true
41,416,1,false
80,427,3,false
47,592,4,false
32,553,0,false
27,181,2,false
27,576,4,false
81,576,2,false
24,239,1,false
31,865,2,false
27,1248,0,false
21,499,1,false
59,725,1,false
49,590,0,false
76,1052,0,false
25,829,0,false
29,1015,0,false
46,231,1,false
44,247,0,false
41,558,2,false
20,212,1,false
19,533,0,false
43,517,0,false
81,217,2,false
59,448,4,false
48,471,0,false
29,409,1,false
53,454,3,true
41,791,1,true
49,1020,0,false
27,1217,1,false
44,1110,1,false
83,467,2,false
19,402,0,true
77,1379,0,false
31,552,0,false
20,491,0,false
53,1103,0,false
36,458,0,false
51,1083,0,false
20,1014,0,false
75,729,0,false
45,560,0,false
34,458,3,false
45,243,0,false
74,522,2,false
21,1307,0,false
55,168,3,false
64,537,3,false
55,895,3,false
18,499,2,false
18,240,0,false
32,763,0,false
72,521,4,false
59,1354,4,false
36,455,0,false
35,425,3,false
57,402,2,false
29,469,0,false
35,221,1,false
48,594,0,false
64,201,1,false
32,152,3,false
18,591,3,true
56,1291,0,false
57,188,0,false
49,828,2,false
27,163,2,false
39,179,0,false
34,540,3,true
26,924,3,false
44,587,0,false
77,466,0,false
40,587,0,false
58,541,1,false
43,230,4,true
34,559,2,false
18,570,1,false
48,427,4,true
81,509,2,false
25,1387,1,false
50,185,2,true
73,216,0,false
73,463,0,false
39,585,4,true
47,1138,4,false
51,163,0,false
66,178,4,false
32,492,1,false
20,444,3,false
41,463,4,false
77,582,1,false
22,543,1,true
18,1117,0,false
37,558,2,false
58,173,1,false
28,573,1,false
33,1236,1,false
62,1323,1,true
51,543,0,false
43,412,0,false
31,403,0,false
51,594,4,false
28,1101,0,false
32,526,0,false
82,494,1,false
81,219,1,false
33,485,0,true
61,206,2,true
27,558,1,false
27,562,0,false
52,453,0,false
58,469,0,false
28,1044,1,true
76,451,4,false
55,550,2,false
61,524,0,false
24,182,2,false
36,181,0,false
19,402,0,false
53,452,2,true
53,717,1,false
63,209,1,true
57,855,4,false
57,561,0,false
45,474,0,false
24,1286,1,false
68,1398,4,false
38,465,0,false
44,167,4,false
23,592,0,false
26,471,0,false
55,197,0,false
38,523,2,false
53,205,0,false
71,497,0,false
71,1339,3,true
23,769,1,false
49,1035,1,true
38,243,3,false
53,1030,0,false
35,906,4,false
34,447,3,false
82,566,3,false
24,205,3,false
53,513,1,false
83,487,0,false
18,450,0,false
34,700,2,false
56,191,0,false
52,557,0,false
39,244,2,false
40,442,1,false
0,188,1,false
79,438,0,false
45,411,1,false
32,732,0,false
23,1329,1,false
33,502,3,false
65,508,0,false
51,1290,3,true
71,220,1,false
27,1014,0,false
26,201,3,false
37,553,3,false
26,582,0,false
36,445,2,false
34,213,1,false
20,202,2,false
37,1254,2,false
25,461,4,false
32,164,0,false
54,843,2,false
34,203,0,false
22,1362,4,false
22,938,1,false
62,155,2,false
28,201,3,false
28,923,4,false
31,717,2,false
53,590,3,false
84,495,2,false
74,474,0,false
26,170,0,false
33,165,2,false
54,1109,2,true
82,1196,0,false
35,453,4,true
83,461,0,false
72,208,0,false
56,501,0,true
62,1197,3,false
25,494,2,false
61,539,0,false
83,1186,1,true
29,421,1,false
33,538,0,false
26,550,0,false
26,790,0,false
62,492,1,false
50,150,0,false
61,899,0,false
25,579,2,false
71,161,3,false
58,1262,1,false
83,506,0,false
18,435,0,false
25,1387,3,false
60,221,4,true
70,576,1,false
73,1065,2,true
81,584,0,false
61,199,1,false
51,896,4,false
18,183,0,false
34,234,4,false
26,569,0,false
74,870,0,false
20,486,0,true
40,1348,0,false
36,522,0,false
71,423,2,true
49,441,0,false
19,153,0,false
82,545,0,false
18,1389,0,false
50,506,0,false
36,831,0,false
68,224,2,true
24,232,0,false
29,514,0,false
69,222,0,false
21,155,0,false
55,173,0,false
23,422,1,false
43,563,2,false
19,223,0,false
22,1307,0,false
59,1046,0,false
45,982,3,false
30,585,3,false
42,569,0,true
49,561,3,true
23,493,1,false
49,571,2,false
40,568,2,true
30,228,0,false
41,556,1,false
82,955,3,true
18,598,0,false
32,478,1,false
72,188,4,false
78,150,0,false
