age,sexe,taux,situationFamiliale,nbEnfantsAcharge,seconde_voiture,immatriculation
2036,77,M,589,En Couple,1,true,6005 VQ 87
2046,31,M,519,En Couple,0,true,38 GU 98
2055,53,F,423,En Couple,4,true,1275 HN 73
2063,73,M,155,En Couple,3,true,5515 JF 96
2066,44,M,211,En Couple,0,true,1240 HX 15
2071,67,M,1299,En Couple,2,true,7139 DG 15
2094,29,F,510,En Couple,1,true,4884 US 37
2097,25,F,1010,En Couple,0,true,1212 RN 94
2098,19,M,555,En Couple,1,true,5451 IZ 71
2116,36,M,158,En Couple,4,true,9606 YV 42
2119,49,M,579,En Couple,3,true,6708 EN 32
2133,32,M,162,En Couple,4,true,3791 QU 33
2135,47,F,207,En Couple,2,true,1292 JN 31
2140,33,M,238,En Couple,2,true,4973 WE 52
2145,51,F,928,En Couple,3,true,3946 RO 16
2155,44,F,897,En Couple,2,true,9535 AW 76
2166,60,M,884,En Couple,4,true,8009 DI 68
2178,49,F,249,En Couple,0,true,4976 NW 84
2181,31,M,460,En Couple,2,true,8910 GV 95
2196,50,M,524,En Couple,3,true,6624 DL 60
2207,36,M,228,En Couple,0,true,3418 UP 88
2209,25,M,545,En Couple,3,true,6437 BE 55
2213,52,M,235,En Couple,1,true,5397 GT 51
2222,41,F,433,En Couple,0,true,2057 ZV 22
2227,51,F,169,En Couple,2,true,9223 CD 22
2236,49,M,504,En Couple,4,true,3556 HO 37
2242,18,M,407,En Couple,3,true,7001 PE 12
2247,26,F,743,En Couple,0,true,6443 HH 27
2249,23,M,547,En Couple,0,true,7451 OA 47
2253,82,M,529,En Couple,3,true,7223 NF 32
2258,50,M,528,En Couple,2,true,2857 VG 30
2261,61,M,1178,En Couple,2,true,254 PF 82
2273,33,F,556,En Couple,4,true,1410 ZW 38
2274,28,M,194,En Couple,2,true,5659 FT 64
2283,18,M,167,En Couple,4,true,6888 RN 53
2290,67,M,226,En Couple,0,true,3199 UL 22
2292,34,M,202,En Couple,4,true,8080 XL 31
2300,18,F,229,En Couple,4,true,9118 RM 95
2302,74,M,411,En Couple,0,true,1409 HZ 15
2303,21,M,404,En Couple,3,true,140 WC 34
2307,72,M,539,En Couple,0,true,4309 NX 22
2310,39,M,202,Marié(e),0,true,3462 UO 48
2317,65,F,545,En Couple,1,true,777 RE 33
2331,41,M,586,En Couple,0,true,8250 OV 12
2336,46,F,1316,En Couple,0,true,6366 ZK 29
2337,27,M,199,En Couple,2,true,3856 FG 88
2353,42,M,475,En Couple,3,true,6204 ML 49
2362,35,M,185,En Couple,4,true,6102 MR 59
2371,25,M,560,En Couple,2,true,9549 EC 76
2379,55,F,1052,En Couple,1,true,2033 TQ 92
2380,55,M,769,En Couple,3,true,7828 AL 56
2389,23,F,420,En Couple,1,true,516 PZ 72
2393,66,M,520,En Couple,2,true,1457 MK 81
2399,57,M,166,En Couple,0,true,2977 ES 89
2412,75,M,1260,En Couple,3,true,6043 HU 85
2418,58,F,452,En Couple,1,true,5820 ZU 30
2420,58,M,432,En Couple,1,true,1537 HE 84
2421,71,M,182,En Couple,2,true,6047 GO 74
2422,40,M,194,Marié(e),0,true,6228 DU 71
2430,21,F,544,En Couple,4,true,2851 TA 15
2441,24,M,439,En Couple,1,true,3114 BZ 37
2445,24,M,444,En Couple,1,true,5363 FV 78
2446,32,F,513,En Couple,0,true,3376 MW 40
2448,30,Homme,1368,En Couple,2,true,7626 LX 74
2456,83,M,1131,En Couple,0,true,5026 GZ 90
2459,63,M,480,En Couple,2,true,5215 WZ 67
2460,18,M,465,En Couple,2,true,6563 OF 15
2472,68,M,496,En Couple,2,true,9681 HX 79
2477,67,M,572,En Couple,3,true,8991 MR 45
2478,70,M,448,En Couple,2,true,9610 WK 42
2482,51,M,571,En Couple,0,true,1238 PP 79
2485,30,M,561,En Couple,3,true,3703 CC 43
2488,69,M,946,En Couple,1,true,5181 RR 92
2489,19,M,231,En Couple,1,true,3797 KD 11
2490,51,F,591,En Couple,3,true,7135 MY 89
2491,67,F,589,En Couple,3,true,2434 FR 27
2499,69,M,1030,En Couple,0,true,5221 KX 39
2506,18,F,245,En Couple,0,true,9996 SS 55
2524,24,M,463,En Couple,2,true,4244 KS 84
2526,37,F,157,En Couple,1,true,7901 QQ 85
2536,36,M,1082,En Couple,0,true,2936 SB 84
2555,26,M,737,En Couple,2,true,3320 JN 22
2570,34,M,1205,En Couple,4,true,3764 ZV 74
2576,47,F,167,En Couple,0,true,9761 RJ 94
2577,76,M,538,En Couple,4,true,129 EZ 26
2599,53,M,453,En Couple,4,true,7486 EI 35
2600,63,F,507,En Couple,0,true,6209 VE 29
2615,22,M,858,En Couple,3,true,1218 MN 16
2623,60,M,1168,En Couple,4,true,7179 EP 36
2634,51,M,158,En Couple,0,true,7614 DE 19
2643,42,M,244,En Couple,3,true,9699 YY 72
2647,27,M,1050,En Couple,1,true,2591 ME 37
2651,60,M,188,En Couple,3,true,2214 IW 33
2664,49,M,212,En Couple,1,true,6444 OV 26
2667,20,M,1087,En Couple,3,true,8998 XS 65
2680,45,M,246,En Couple,3,true,1394 DZ 45
2700,30,M,784,En Couple,0,true,1287 PJ 46
2724,30,M,488,En Couple,1,true,1246 TB 74
2736,27,M,474,En Couple,2,true,8553 JE 41
2748,21,M,1049,En Couple,0,true,4666 ZE 16
2758,51,F,477,En Couple,3,true,8669 EV 59
2761,71,M,509,En Couple,4,true,9442 MA 13
2762,73,F,521,En Couple,-1,true,825 RL 66
2763,29,M,509,En Couple,0,true,6721 RJ 39
2767,20,F,547,En Couple,0,true,8421 FO 20
2778,29,F,175,En Couple,1,true,2826 SS 62
2779,69,M,588,En Couple,4,true,335 YS 81
2794,47,M,559,En Couple,2,true,1341 SH 64
2810,49,M,174,En Couple,2,true,1570 WB 43
2814,69,M,1364,En Couple,1,true,3944 QV 70
2822,37,F,511,En Couple,1,true,5071 BE 30
2838,65,M,546,En Couple,2,true,6953 NQ 41
2841,50,M,535,En Couple,0,true,2956 VP 43
2846,19,F,403,En Couple,2,true,6771 LN 66
2849,64,F,580,En Couple,1,true,3022 VO 29
2851,34,F,753,En Couple,0,true,4215 HH 97
2853,19,F,569,En Couple,1,true,9911 OI 29
2868,48,M,517,En Couple,1,true,5411 AJ 62
2893,34,M,859,En Couple,2,true,8917 AT 40
2920,72,M,493,En Couple,0,true,3261 WC 60
2926,82,M,172,En Couple,0,true,6770 EV 91
2945,76,M,216,En Couple,2,true,5711 BD 97
2951,82,M,1227,En Couple,2,true,4029 ZC 63
2958,52,M,569,En Couple,3,true,891 XY 38
2959,63,F,595,Marié(e),2,true,9489 GD 97
2962,77,M,525,En Couple,1,true,7000 CW 91
2966,27,F,1228,En Couple,2,true,2564 XA 69
2970,31,Femme,577,En Couple,1,true,2698 YO 65
2971,56,M,197,En Couple,0,true,8979 HB 66
2972,28,M,496,En Couple,0,true,5569 BM 86
2977,54,F,1174,En Couple,2,true,145 CP 46
2980,45,M,169,En Couple,0,true,1694 AA 82
2987,38,F,1317,En Couple,4,true,8422 UK 69
2994,53,M,425,En Couple,1,true,9 RE 32
2999,27,M,581,En Couple,2,true,1118 IR 29
3006,19,M,571,En Couple,1,true,6125 BD 33
3014,78,M,401,En Couple,0,true,993 XX 84
3037,56,M,510,En Couple,0,true,6794 EW 74
3069,82,M,238,En Couple,3,true,4383 GA 55
3073,22,M,765,En Couple,3,true,6761 XZ 53
3074,43,F,1393,En Couple,0,true,7201 HI 57
3075,45,M,460,En Couple,3,true,9458 XI 31
3112,30,M,982,En Couple,2,true,8386 FN 82
3114,74,M,427,En Couple,0,true,999 PU 61
3116,46,M,438,En Couple,0,true,6969 SJ 64
3125,19,M,175,En Couple,4,true,9822 UQ 87
3134,62,M,587,En Couple,1,true,4091 GT 77
3141,41,F,160,En Couple,2,true,1581 ED 58
3145,76,M,215,En Couple,1,true,7716 AX 69
3158,34,M,1153,En Couple,1,true,6267 QL 95
3169,22,F,420,En Couple,0,true,5413 ZL 94
3172,53,M,477,En Couple,3,true,3915 IM 62
3183,45,M,188,En Couple,2,true,4655 PA 16
3189,52,M,246,En Couple,4,true,3003 FE 63
3190,23,M,730,En Couple,1,true,3842 AC 37
3201,41,M,201,En Couple,1,true,3578 CT 34
3204,65,M,569,En Couple,2,true,4744 QF 67
3208,83,M,520,En Couple,0,true,7360 IB 94
3214,41,F,486,En Couple,4,true,7640 MV 34
3216,23,M,475,En Couple,4,true,3115 FU 33
3217,49,M,181,En Couple,4,true,8061 YW 82
3225,23,M,1298,En Couple,1,true,3740 OO 32
3236,22,F,211,En Couple,3,true,4014 UW 85
3242,37,F,1243,En Couple,1,true,5535 YG 41
3251,81,M,246,En Couple,2,true,5946 BZ 11
3260,45,F,725,En Couple,4,true,6449 UP 53
3266,35,M,483,En Couple,1,true,6105 IZ 65
3271,24,M,436,En Couple,2,true,6153 EJ 39
3274,20,F,516,En Couple,1,true,1538 VS 72
3275,77,M,1088,En Couple,0,true,4961 DP 73
3276,29,M,419,En Couple,1,true,738 FV 26
3279,62,M,176,En Couple,1,true,8518 JX 59
3283,58,M,471,En Couple,0,true,9709 PX 72
3294,62,M,540,En Couple,0,true,6355 QD 38
3300,58,F,184,En Couple,1,true,6467 TJ 44
3310,21,F,211,En Couple,1,true,6036 UI 26
3313,42,M,834,En Couple,2,true,6672 ES 23
3316,47,F,572,En Couple,1,true,3448 SU 89
3327,58,M,567,En Couple,1,true,4533 LM 85
3340,46,F,437,En Couple,2,true,1428 WV 74
3341,59,M,741,En Couple,1,true,7562 NN 59
3342,55,M,790,En Couple,2,true,5203 TT 51
3343,52,M,454,En Couple,2,true,3021 MI 94
3345,23,M,740,En Couple,1,true,6503 FX 85
3348,68,M,577,En Couple,0,true,8963 FM 86
3354,34,F,222,En Couple,2,true,4704 II 48
3362,22,M,243,En Couple,0,true,5575 XQ 64
3367,41,M,511,En Couple,1,true,7048 RR 69
3371,22,F,886,En Couple,1,true,7128 EF 91
3373,30,F,449,En Couple,0,true,7171 YD 13
3396,40,M,464,En Couple,0,true,6138 RD 71
3414,36,M,226,En Couple,2,true,8962 GF 14
3418,18,M,432,En Couple,0,true,7179 HI 14
3422,22,M,857,En Couple,0,true,9251 BS 71
3423,84,M,203,En Couple,2,true,6507 VL 42
3433,20,F,497,En Couple,1,true,8728 SE 93
3434,29,M,546,En Couple,1,true,8547 TI 83
3436,46,F,410,En Couple,1,true,8863 ZO 44
3447,54,M,1309,En Couple,3,true,5701 CV 76
3460,37,F,540,En Couple,0,true,3845 SI 80
3471,58,M,455,En Couple,1,true,8418 UT 70
3476,43,M,747,En Couple,1,true,7142 GD 78
3494,36,M,587,En Couple,2,true,5401 SY 74
3495,41,M,1107,En Couple,2,true,7278 KU 57
3534,47,F,593,En Couple,4,true,7042 WC 34
3546,35,F,900,En Couple,2,true,4566 VH 17
3554,35,M,573,En Couple,1,true,6826 TZ 10
3565,40,M,575,En Couple,4,true,4520 DX 63
3566,57,F,550,En Couple,1,true,3901 LZ 19
3568,19,M,187,En Couple,1,true,569 JA 33
3569,38,M,595,En Couple,4,true,5145 TA 38
3570,83,M,970,En Couple,2,true,2280 VS 29
3571,82,M,461,En Couple,4,true,3070 AP 18
3584,22,F,560,En Couple,2,true,457 ZW 66
3589,21,M,1272,En Couple,4,true,3335 XQ 63
3598,22,F,188,En Couple,1,true,5680 UY 51
3600,21,F,581,En Couple,1,true,5495 FC 68
3603,68,F,491,En Couple,2,true,5173 HA 47
3618,58,F,409,En Couple,1,true,831 QI 68
3622,28,M,1229,En Couple,0,true,7261 KZ 36
3624,59,M,474,En Couple,4,true,2547 IB 26
3625,44,M,514,En Couple,3,true,2231 CQ 33
3627,25,M,168,En Couple,0,true,4236 UR 71
3642,26,M,194,En Couple,4,true,252 EL 23
3649,25,M,593,En Couple,0,true,8454 VE 59
3652,48,F,856,En Couple,2,true,6463 KN 24
3658,24,M,1231,En Couple,1,true,6210 EM 97
3661,62,M,424,En Couple,2,true,8082 VN 84
3668,49,Femme,553,En Couple,1,true,1258 OW 15
3674,27,F,494,En Couple,1,true,9865 VM 22
3675,57,M,221,En Couple,3,true,8702 VK 31
3685,41,M,597,En Couple,2,true,5170 GO 93
3689,74,M,445,En Couple,0,true,4912 KD 87
